Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,Yes,Travel_Rarely,801,Research & Development,11,2,Marketing,1,1,4,Female,44,4,1,Research Director,1,Married,5102,2283,2,Y,Yes,22,3,3,80,3,1,0,4,1,0,0,1
24,No,Non-Travel,1231,Sales,26,5,Medical,1,2,1,Male,33,1,2,Manager,2,Single,8583,10083,1,Y,Yes,20,3,4,80,2,3,5,2,1,1,0,1
40,No,Travel_Frequently,881,Research & Development,24,4,Human Resources,1,3,2,Male,63,4,1,Manager,1,Divorced,6498,21582,6,Y,No,17,3,2,80,0,6,2,4,0,0,0,0
44,No,Non-Travel,332,Research & Development,26,4,Human Resources,1,4,3,Male,44,2,2,Manager,3,Married,8419,21720,3,Y,Yes,23,3,4,80,1,4,2,3,2,1,2,0
59,Yes,Travel_Frequently,750,Sales,20,4,Technical Degree,1,5,2,Female,91,3,4,Sales Representative,2,Married,13357,5842,0,Y,Yes,13,3,2,80,0,13,6,4,6,6,0,3
29,Yes,Travel_Rarely,224,Sales,27,2,Life Sciences,1,6,1,Male,46,2,1,Sales Executive,2,Married,5569,6483,7,Y,Yes,15,3,4,80,3,4,5,4,4,1,3,3
26,No,Travel_Rarely,1423,Research & Development,4,3,Marketing,1,7,3,Male,36,3,2,Research Scientist,2,Single,9243,16169,9,Y,No,19,3,4,80,1,4,1,3,0,0,0,0
29,No,Travel_Rarely,923,Human Resources,16,2,Marketing,1,8,4,Male,64,4,4,Manager,3,Divorced,14983,19434,8,Y,No,14,3,1,80,0,11,5,4,11,11,3,3
25,No,Travel_Rarely,760,Research & Development,22,1,Marketing,1,9,3,Female,33,2,2,Healthcare Representative,2,Married,8932,6736,0,Y,No,11,4,4,80,3,7,4,2,3,1,0,2
52,No,Travel_Rarely,955,Sales,28,3,Marketing,1,10,1,Female,52,3,3,Sales Representative,4,Divorced,10288,5103,9,Y,No,12,3,2,80,1,8,0,1,4,2,0,3
